ID,Tipo,REF,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status da taxa","Classe de taxa","Em estoque?",Estoque,"São permitidas encomendas?","Vender individualmente?","Peso (g)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de download","Dias para expirar o download",Pai,"Produtos agrupados","Aumenta vendas","Venda cruzada","URL externa","Texto do botão","Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1","Nome do atributo 2","Valores do atributo 2","Visibilidade do atributo 2","Atributo global 2","Nome do atributo 3","Valores do atributo 3","Visibilidade do atributo 3","Atributo global 3"
358,simple,"HAC 001","Havaianas Allegra Print",1,0,visible,,"Havaianas Allegra chegam para oferecer conforto em momentos ideais para relaxar! Possuí estampa jovem e feminina com solado emborrachado Ice Blue e tiras slim na cor Coral. 
",,,taxable,,1,,0,0,313,280,110,60,0,,,20.10,"#verão > #havaianas, #kitpresentes, #verão","#havaianas, #kit2, #kitpresente, #verão",,"http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Allegra-IceBlueCoralNew-3.jpg, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Allegra-IceBlueCoralNew2.jpg, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Allegra-IceBlueCoralNew1.jpg",,,,,,,,,Cor,"Coral e Ice Blue",1,1,"Tamanho Adulto","33/34, 35/36, 37/38, 39/40",1,1,,,,
364,simple,"HSP 002","Havaianas Slim Petunia",1,0,visible,,"Havaianas Slim é perfeita para mulheres com estilo clássico e delicado. Possui solado emborrachado e tiras Slim na cor Petunia. 
",,,taxable,,1,,0,0,313,280,110,60,0,,,25.90,"#verão > #havaianas, #kitpresentes, #verão","#havaianas, #kit3, #kitpresente, #verão",,"http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Petunia1-1.jpg, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Petunia.jpg, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Petunia.2.jpg",,,,,,,,,Cor,Petunia,1,1,,,,,,,,
369,simple,"HCL 003","Havaianas Slim LED",1,0,visible,,"Havaianas Slim Candy é perfeita para mulheres jovens e fashionistas, ideal para momentos descontraídos. Possui solado emborrachado e tiras Slim com aplicações de ilhos na cor Led.
",,,taxable,,1,,0,0,313,280,110,60,0,,,25.90,"#verão > #havaianas, #kitpresentes, #verão","#havaianas, #kit3, #kitpresentes, #verão",,"http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Candy-Amarelo-Led2-1.jpg, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Candy-Amarelo-Led1.jpg, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Candy-Amarelo-Led.jpg",,,,,,,,,Cor,Led,1,1,,,,,,,,
374,simple,"HCC 004","Havaianas Slim Candy",1,0,visible,,"As Havaianas Slim Candy possui solado emborrachado e tiras Slim com aplicações de ilhos na cor Laranja Cyber. É ideal para mulheres contemporâneas, que adoram se sentir confortável nos momentos de diversão. ",,,taxable,,1,,0,0,313,28,11,6,0,,,25.90,"#verão > #havaianas, #kitpresentes, #verão","#havaianas, #kit3, #kitpresentes, #verão",,"http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Candy-Laranja-Cyber-1.jpg, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Candy-Laranja-Cyber.2.jpg, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Candy-Laranja-Cyber1.jpg",,,,,,,,,Cor,"Laranja Cyber",1,1,,,,,,,,
378,simple,"HPM 005","Havaianas Slim Pop Up",1,0,visible,,"Havaianas Slim Logo Pop Up possuí solado emborrachado na cor Rosa Maravilha e tiras Slim na cor Verde Piscina, é perfeita para mulheres modernas e cheias de charme.

",,,taxable,,1,,0,0,313,28,11,6,0,,,34.10,"#verão > #havaianas, #kitpresentes, #verão","#havaianas, #kit3, #kitpresentes, #verão",,"http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Logo-Pop-Up-Maravilha-1.jpg, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Logo-Pop-Up-Maravilha1-1.jpg",,,,,,,,,Cor,"Rosa Maravilha",1,1,,,,,,,,
382,simple,"HKF 006","Havaianas Teen Slim Fresh",1,0,visible,,"Com estampa jovem e divertida, solado emborrachado na cor Purpura e tiras slim na cor Amarela, as Havaianas Teen Slim Fresh, são ideais para momentos de distração e lazer. ",,,taxable,,1,,0,0,189,23,9,35,0,,,25.90,"#kids > #Havaianas, #kids, #kitpresentes","#havaianas, #kids, #kit2, #kitpresentes",,"http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/giphy-1.gif, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Fresh-Infantil-Purpura2.jpg, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Fresh-Infantil-Purpura1.jpg, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Fresh-Infantil-Purpura.jpg",,,,,,,,,Cor,Purpura,1,1,,,,,,,,
387,simple,"HKP 007","Havaianas Kids Slim Pop",1,0,visible,,"Com estampa super divertida e refrescante, solado emborrachado com estampa de sorvete, tiras slim na cor Rose e aplicação de colherzinha Gold, as Havaianas Kids Slim Pop são perfeitas para aproveitar os momentos animados com a turma. 
",,,taxable,,1,,0,0,189,23,9,35,0,,,32.90,"#kids > #Havaianas, #kids, #kitpresentes","#havaianas, #kids, #kit3, #kitpresentes, #verão",,"http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/giphy-2.gif, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Pop-Rose-Gold.jpg, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Pop-Rose-Gold.2.jpg",,,,,,,,,Cor,"Rose Gold",1,1,,,,,,,,
391,simple,"HKM 008","Havaianas Kids Minions",1,0,visible,,"Inspirada nos personagens e no universo minions, as Havaianas Kids Minions possui solado emborrachado Azul com tiras na cor amarela. Ideal para seus pequenos se sentirem confortáveis nos momentos divertidos e descontraídos. 
",,,taxable,,1,,0,0,189,23,9,35,0,,,32.90,"#kids > #Havaianas, #kids, #kitpresentes","#havaianas, #kids, #kit3, #kitpresentes, #verão",,"http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/giphy.gif, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Kids-Minions-Azul1.jpg, http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Kids-Minions-Azul.jpg",,,,,,,,,Cor,Azul,1,1,"Tamanho Infantil","23/24, 24/25, 25/26, 26/27, 27/28, 28/29, 29/30, 30/31, 31/32",1,1,,,,
397,simple,"TPN 001","Toalha de Praia Naútica",1,0,visible,,"Toalha de Praia Teka - Málaga, aveludada, com estampa náutica e aplicação de grelot na cor branco. Confeccionada em tecido 100% algodão ideal para um pós banho de mar ou de piscina. 
",,,taxable,,1,3,0,0,330,150,75,,0,,,54.90,"#kitpresentes, #verão > #toalhas, #verão","#kit4, #kitpresentes, #praia, #toalhas, #verão",,http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/toalha-praia-ancora-ania-store.jpg,,,,,,,,,Estampa,Naútica,1,0,,,,,,,,
399,simple,"TPS 002","Toalha de Praia Surf",1,0,visible,,"Uma peça perfeita para você levar à praia ou piscina na hora de pegar sol ou se secar após um ótimo mergulho. A Toalha de Praia Teka - Málaga, aveludada, com estampa de surfista na praia e aplicação de grelot na cor laranja é confeccionada em tecido 100% algodão. ",,,taxable,,1,2,0,0,330,150,75,,0,,,54.90,"#kitpresentes, #kids > #Toalha, #verão > #toalhas, #verão","#kit4, #kitdepresente, #praia, #toalhas, #verão",,http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/toalha-praia-surf-ania-store.jpg,,,,,,,,,Estampa,"Surfista na Praia",1,0,,,,,,,,
