"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_author","comment_status","sku","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","manage_stock","tax_status","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","images","downloadable_files","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","attribute:Cor","attribute_data:Cor","attribute_default:Cor","attribute:Estampa","attribute_data:Estampa","attribute_default:Estampa","attribute:pa_cor","attribute_data:pa_cor","attribute_default:pa_cor","attribute:pa_tamanho-adulto","attribute_data:pa_tamanho-adulto","attribute_default:pa_tamanho-adulto","attribute:pa_tamanho-infantil","attribute_data:pa_tamanho-infantil","attribute_default:pa_tamanho-infantil","attribute:pa_tamanhos","attribute_data:pa_tamanhos","attribute_default:pa_tamanhos"
"Havaianas Allegra Print","havaianas-allegra-print","358","","Havaianas Allegra chegam para oferecer conforto em momentos ideais para relaxar! Possuí estampa jovem e feminina com solado emborrachado Ice Blue e tiras slim na cor Coral. 
","publish","0","2017-11-20 11:31:40","1","closed","HAC 001","no","no","","20.10","","313","280","110","60","","","instock","no","no","taxable","","","","","","-1","-1","","","http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Allegra-IceBlueCoralNew-3.jpg | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Allegra-IceBlueCoralNew2.jpg | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Allegra-IceBlueCoralNew1.jpg","","simple","","#verão > #havaianas|#kitpresentes|#verão","#havaianas|#kit2|#kitpresente|#verão","","","","","","","","Coral e Ice Blue","0|1|0","","33/34|35/36|37/38|39/40","1|1|0","","","","","","",""
"Havaianas Slim Petunia","havaianas-slim","364","","Havaianas Slim é perfeita para mulheres com estilo clássico e delicado. Possui solado emborrachado e tiras Slim na cor Petunia. 
","publish","0","2017-11-20 11:43:16","1","closed","HSP 002","no","no","","25.90","","313","280","110","60","","","instock","no","no","taxable","","","","","","-1","-1","","","http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Petunia1-1.jpg | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Petunia.jpg | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Petunia.2.jpg","","simple","","#verão > #havaianas|#kitpresentes|#verão","#havaianas|#kit3|#kitpresente|#verão","","","","","","","","Petunia","1|1|0","","","","","","","","","",""
"Havaianas Slim LED","havaianas-slim-candy","369","","Havaianas Slim Candy é perfeita para mulheres jovens e fashionistas, ideal para momentos descontraídos. Possui solado emborrachado e tiras Slim com aplicações de ilhos na cor Led.
","publish","0","2017-11-20 11:52:07","1","closed","HCL 003","no","no","","25.90","","313","280","110","60","","","instock","no","no","taxable","","","","","","-1","-1","","","http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Candy-Amarelo-Led2-1.jpg | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Candy-Amarelo-Led1.jpg | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Candy-Amarelo-Led.jpg","","simple","","#verão > #havaianas|#kitpresentes|#verão","#havaianas|#kit3|#kitpresentes|#verão","","","","","","","","Led","0|1|0","","","","","","","","","",""
"Havaianas Slim Candy","havaianas-slim-candy-2","374","","As Havaianas Slim Candy possui solado emborrachado e tiras Slim com aplicações de ilhos na cor Laranja Cyber. É ideal para mulheres contemporâneas, que adoram se sentir confortável nos momentos de diversão. ","publish","0","2017-11-20 11:58:39","1","closed","HCC 004","no","no","","25.90","","313","28","11","6","","","instock","no","no","taxable","","","","","","-1","-1","","","http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Candy-Laranja-Cyber-1.jpg | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Candy-Laranja-Cyber.2.jpg | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Candy-Laranja-Cyber1.jpg","","simple","","#verão > #havaianas|#kitpresentes|#verão","#havaianas|#kit3|#kitpresentes|#verão","","","","","","","","Laranja Cyber","0|1|0","","","","","","","","","",""
"Havaianas Slim Pop Up","havaianas-slim-pop-up","378","","Havaianas Slim Logo Pop Up possuí solado emborrachado na cor Rosa Maravilha e tiras Slim na cor Verde Piscina, é perfeita para mulheres modernas e cheias de charme.

","publish","0","2017-11-20 12:07:06","1","closed","HPM 005","no","no","","34.10","","313","28","11","6","","","instock","no","no","taxable","","","","","","-1","-1","","","http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Logo-Pop-Up-Maravilha-1.jpg | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Logo-Pop-Up-Maravilha1-1.jpg","","simple","","#verão > #havaianas|#kitpresentes|#verão","#havaianas|#kit3|#kitpresentes|#verão","","","","","","","","Rosa Maravilha","1|1|0","","","","","","","","","",""
"Havaianas Teen Slim Fresh","havaianas-teen-slim-fresh","382","","Com estampa jovem e divertida, solado emborrachado na cor Purpura e tiras slim na cor Amarela, as Havaianas Teen Slim Fresh, são ideais para momentos de distração e lazer. ","publish","0","2017-11-20 12:14:32","1","closed","HKF 006","no","no","","25.90","","189","23","9","35","","","instock","no","no","taxable","","","","","","-1","-1","","","http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/giphy-1.gif | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Fresh-Infantil-Purpura2.jpg | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Fresh-Infantil-Purpura1.jpg | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Fresh-Infantil-Purpura.jpg","","simple","","#kids > #Havaianas|#kids|#kitpresentes","#havaianas|#kids|#kit2|#kitpresentes","","","","","","","","Purpura","0|1|0","","","","","","","","","",""
"Havaianas Kids Slim Pop","havaianas-kids-slim-pop","387","","Com estampa super divertida e refrescante, solado emborrachado com estampa de sorvete, tiras slim na cor Rose e aplicação de colherzinha Gold, as Havaianas Kids Slim Pop são perfeitas para aproveitar os momentos animados com a turma. 
","publish","0","2017-11-20 12:21:26","1","closed","HKP 007","no","no","","32.90","","189","23","9","35","","","instock","no","no","taxable","","","","","","-1","-1","","","http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/giphy-2.gif | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Pop-Rose-Gold.jpg | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Slim-Pop-Rose-Gold.2.jpg","","simple","","#kids > #Havaianas|#kids|#kitpresentes","#havaianas|#kids|#kit3|#kitpresentes|#verão","","","","","","","","Rose Gold","2|1|0","","","","","","","","","",""
"Havaianas Kids Minions","havaianas-kids-minions","391","","Inspirada nos personagens e no universo minions, as Havaianas Kids Minions possui solado emborrachado Azul com tiras na cor amarela. Ideal para seus pequenos se sentirem confortáveis nos momentos divertidos e descontraídos. 
","publish","0","2017-11-20 12:26:44","1","closed","HKM 008","no","no","","32.90","","189","23","9","35","","","instock","no","no","taxable","","","","","","-1","-1","","","http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/giphy.gif | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Kids-Minions-Azul1.jpg | http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/Kids-Minions-Azul.jpg","","simple","","#kids > #Havaianas|#kids|#kitpresentes","#havaianas|#kids|#kit3|#kitpresentes|#verão","","","","","","","","Azul","0|1|0","","","","","23/24|24/25|25/26|26/27|27/28|28/29|29/30|30/31|31/32","1|1|0","","","",""
"Toalha de Praia Naútica","toalha-de-praia-nautica","397","","Toalha de Praia Teka - Málaga, aveludada, com estampa náutica e aplicação de grelot na cor branco. Confeccionada em tecido 100% algodão ideal para um pós banho de mar ou de piscina. 
","publish","0","2017-11-21 12:14:22","1","closed","TPN 001","no","no","3","54.90","","330","150","75","","","","instock","no","yes","taxable","","","","","","-1","-1","","","http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/toalha-praia-ancora-ania-store.jpg","","simple","","#kitpresentes|#verão > #toalhas|#verão","#kit4|#kitpresentes|#praia|#toalhas|#verão","","","","","Naútica","0|1|0","","","","","","","","","","","","",""
"Toalha de Praia Surf","toalha-de-praia-surf","399","","Uma peça perfeita para você levar à praia ou piscina na hora de pegar sol ou se secar após um ótimo mergulho. A Toalha de Praia Teka - Málaga, aveludada, com estampa de surfista na praia e aplicação de grelot na cor laranja é confeccionada em tecido 100% algodão. ","publish","0","2017-11-21 12:24:22","1","closed","TPS 002","no","no","2","54.90","","330","150","75","","","","instock","no","yes","taxable","","","","","","-1","-1","","","http://www.bulkdesign.com.br/aniastore/wp-content/uploads/2017/11/toalha-praia-surf-ania-store.jpg","","simple","","#kitpresentes|#kids > #Toalha|#verão > #toalhas|#verão","#kit4|#kitdepresente|#praia|#toalhas|#verão","","","","","Surfista na Praia","0|1|0","","","","","","","","","","","","",""
